x-axis,y-axis,z-axis
-0.08,7.97,1.1849703
0.23,13.87,0.9942854
1.23,9.7,-0.23154591
0.57,8.01,0.10896278
1.27,10.73,0.50395286
1.95,8.31,-0.95342433
-0.89,7.08,-0.29964766
-3.76,10.31,1.4982382
-0.34,10.38,-0.88532263
-1.5,12.18,-1.525479
-0.5,15.47,0.08172209
-0.5,13.76,0.8036005
-0.89,13.87,6.0201936
-1.5,14.9,4.3312707
-5.37,10.92,-5.09401
-5.79,7.55,-2.3699405
-1.46,7.82,3.3778462
-1.5,8.28,1.4573772
-1.65,7.35,2.5333846
-0.91,7.55,3.0645783
0.27,3.68,2.8330324
1.54,1.57,2.7240696
-0.42,1.65,2.1111538
-2.45,10.73,9.112013
-0.53,16.86,6.3607025
-2.34,3.68,2.4516625
-2.53,8.85,0.9942854
-0.57,14.71,1.1168685
0.93,9.58,1.0351465
0.0,9.62,-0.3405087
1.23,10.08,0.08172209
1.23,8.24,1.6889231
-1.76,5.09,0.38136974
-3.79,7.67,-1.7978859
-4.02,12.76,-0.19068487
-2.49,15.98,-0.46309182
-2.49,15.98,-0.46309182
-0.46,15.6,1.4573772
-1.73,13.02,7.014479
-3.11,13.63,-0.7627395
-6.32,9.47,-3.445948
-2.45,6.28,-0.61291564
2.76,11.03,3.1054392
-0.11,6.02,-0.27240697
-0.53,2.34,1.2666923
-0.27,3.87,1.607201
1.54,5.48,2.2609777
2.22,5.28,2.3018389
-1.27,9.72,5.8976107
-0.76,16.55,5.5571017
-0.57,6.44,1.7297841
-1.88,10.53,0.53119355
-1.88,10.53,0.53119355
0.46,11.54,-0.29964766
2.49,10.53,0.84446156
1.42,9.81,1.2258313
2.11,8.89,-0.27240697
2.34,7.06,0.3405087
-0.99,7.21,-2.2609777
-3.68,10.42,-0.19068487
-0.76,12.49,-2.1792557
-0.42,16.09,-1.6889231
0.0,14.98,3.214402
0.0,12.72,5.366417
0.93,13.76,2.4925237
-3.83,10.99,-4.2495484
-2.26,9.3,2.3699405
0.57,10.42,1.6889231
0.53,8.16,-0.6537767
-0.61,6.28,1.56634
-0.8,4.6,1.3075534
0.19,2.87,0.8036005
1.31,3.57,0.53119355
4.1,4.25,2.2609777
2.49,19.34,7.8589406
-0.46,5.37,1.6889231
-1.99,3.34,0.95342433
-2.6,17.69,-0.88532263
3.76,12.45,1.1849703
3.21,9.11,-0.0
3.49,9.47,-0.10896278
1.61,8.58,-0.040861044
0.42,7.97,0.08172209
-0.5,7.31,0.313268
-1.84,8.16,-1.3075534
-0.69,11.73,-1.7297841
1.54,18.89,-1.920469
1.33,15.21,6.891896
0.69,14.02,3.5957718
4.1,11.6,-0.14982383
-0.65,13.63,-1.0351465
-3.34,10.08,-1.3756552
1.69,10.19,1.4982382
0.15,8.2,-1.2258313
-1.14,4.6,0.10896278
-0.65,3.15,0.08172209
-0.27,1.38,-0.61291564
-0.34,2.53,0.53119355
5.56,15.64,3.1054392
3.76,14.18,3.1463003
1.38,3.15,2.9147544
0.15,15.28,1.2258313
0.19,10.57,-0.27240697
-0.5,8.01,0.040861044
0.76,9.47,0.10896278
2.96,10.69,-0.6946377
2.03,7.74,0.14982383
0.8,9.38,0.50395286
-0.27,10.88,-0.61291564
-0.84,9.92,-0.29964766
-0.23,10.57,-0.38136974
