x-axis,y-axis,z-axis
-0.3,0.11,-8.54
2.3,-3.41,-7.44
2.03,-3.06,-2.53
0.42,1.18,0.84
-7.55,13.1,-1.61
-12.03,18.43,-0.27
-1.92,13.63,-7.08
4.44,19.57,-16.21
11.07,12.53,10.99
8.01,3.95,-2.3
8.85,-2.37,-1.23
8.58,-3.72,4.48
6.13,4.4,0.72
1.33,19.57,-18.12
-5.9,19.57,6.47
-12.53,7.21,13.82
-2.14,2.34,-8.77
2.56,-3.95,-4.86
5.33,-5.98,-0.61
-0.04,3.06,-2.56
-0.04,3.06,-2.56
-6.82,12.45,-6.55
-11.5,16.66,3.79
-3.06,9.92,-1.38
-3.87,19.57,-15.85
5.33,14.14,6.05
9.38,7.31,0.42
9.7,-1.73,-2.45
6.66,-2.49,2.41
6.17,1.61,1.73
6.47,18.43,-14.21
-8.66,19.57,6.28
-13.91,6.55,14.98
-3.57,1.5,-8.16
3.17,-6.09,-1.12
1.88,1.5,-6.63
-0.8,4.02,-2.3
-12.79,17.88,-4.48
-9.19,13.8,2.72
-5.01,12.03,-3.76
-3.06,19.57,-16.7
7.06,13.29,7.44
10.0,7.97,-2.37
8.2,0.08,-2.07
10.73,-2.72,5.48
5.86,7.25,0.99
-9.96,19.57,-17.73
-11.22,18.01,9.58
-12.41,5.52,10.0
-1.23,0.0,-11.45
-1.23,0.0,-11.45
3.68,7.63,-6.4
-3.72,7.63,-6.4
-3.72,7.63,-6.4
-17.54,19.31,-1.99
-6.66,9.53,1.5
-10.08,19.5,-4.1
-0.65,17.88,-8.58
9.53,10.57,7.31
9.92,1.61,-3.41
8.73,-0.99,2.68
6.13,-0.23,2.3
4.99,13.57,-5.79
-14.82,19.57,-7.16
-16.78,9.15,15.94
-7.12,3.95,-4.99
1.76,-3.36,-6.66
8.12,-6.05,-0.69
-0.04,4.29,-6.97
-8.12,11.65,-7.74
-19.19,17.16,5.48
-9.23,12.34,-1.8
-9.38,19.57,-16.51
4.63,15.51,9.96
9.15,7.31,-4.4
10.0,-0.61,-1.31
11.03,-2.75,8.69
5.71,6.89,0.5
-15.21,19.57,-16.63
-19.23,16.02,10.12
-12.6,4.6,7.97
-0.42,-0.19,-10.57
6.93,-6.89,-1.23
6.93,-6.89,-1.23
3.6,-1.08,-7.4
-2.34,3.91,-5.75
-16.47,17.5,-2.45
-5.98,6.89,1.08
-12.91,16.82,-1.14
-6.4,18.12,-7.46
8.08,12.72,5.56
10.04,3.72,-1.46
11.45,-0.46,3.17
5.9,1.5,2.87
-2.68,16.13,-8.08
-19.61,19.57,-0.99
-17.77,6.32,18.31
-7.97,4.82,-9.66
2.56,-3.79,-8.47
13.91,-11.3,5.52
-0.8,2.83,-8.77
-1.42,1.46,-3.87
-16.13,15.98,-6.89
-10.27,12.53,0.89
-13.48,19.27,-5.24
-0.42,16.17,8.81
7.86,12.83,0.46
11.14,2.45,-2.68
7.93,-0.65,8.69
4.67,3.21,-1.18
-11.69,18.77,-15.05
-19.38,18.96,0.69
-16.89,3.6,16.25
-5.24,1.27,-11.84
3.38,-4.48,-6.51
9.92,-7.25,6.28
-0.65,2.11,-5.67
-7.01,6.05,-8.88
-18.77,17.77,4.99
-11.14,13.72,0.61
-12.53,19.57,-8.31
3.49,12.41,10.34
8.05,9.19,-0.38
10.23,2.37,-0.61
7.46,1.04,4.18
1.88,10.08,-1.61
-19.57,19.57,-16.17
-19.19,14.06,10.23
-12.64,4.18,4.86
-1.46,-0.99,-10.23
7.31,-7.12,1.5
3.11,1.12,-4.56
-1.88,2.3,-5.56
-13.33,11.96,-4.1
-16.17,13.02,0.31
-11.65,11.3,2.83
-17.27,19.57,-11.84
0.15,16.97,7.82
6.44,10.84,-2.34
11.8,3.64,-0.95
9.51,1.92,5.83
2.26,6.78,-1.12
-19.08,19.57,-16.78
-19.04,14.67,8.47
-19.04,14.67,8.47
-12.34,3.26,5.09
-0.04,-1.95,-9.38
10.92,-7.12,5.83
-0.38,2.91,-8.47
-3.02,2.37,-6.74
-17.86,17.01,-2.83
-10.57,6.32,4.18
-18.43,18.31,-2.68
-8.47,18.31,-12.03
5.79,11.75,0.72
10.31,4.75,-2.45
9.89,1.99,4.02
2.98,6.02,-0.89
-18.69,19.57,-16.02
-19.57,13.72,9.19
-12.91,3.68,5.71
-1.46,-0.57,-9.58
8.24,-5.41,2.03
4.94,1.46,-5.86
-2.75,2.83,-6.85
-15.66,13.76,-3.91
-15.66,13.76,-3.91
-15.66,13.76,-3.91
-16.66,8.73,3.68
-6.59,19.46,-5.05
3.91,14.41,2.34
9.96,5.28,-2.34
10.8,3.64,5.41
3.3,3.76,1.18
-12.15,18.2,-12.56
-19.61,19.34,-4.1
-17.35,-2.03,18.92
-6.63,1.8,-7.35
4.29,-2.22,-6.32
13.33,-3.91,5.37
-0.57,0.65,-6.09
-6.63,4.37,-4.82
-19.61,17.58,-1.14
-9.04,4.82,0.23
-18.96,16.04,0.42
