x-axis,y-axis,z-axis
-7.16,-0.84,-6.74
-7.16,-0.69,-6.78
-7.08,-0.65,-6.85
-7.16,-0.61,-6.85
-7.16,-0.65,-6.89
-7.25,-0.72,-6.78
-7.25,-0.69,-6.74
-7.27,-0.72,-6.78
-7.25,-0.72,-6.78
-7.16,-0.69,-6.82
-7.12,-0.69,-6.85
-7.16,-0.69,-6.89
-7.16,-0.69,-6.89
-7.16,-0.69,-6.85
-7.21,-0.69,-6.82
-7.16,-0.69,-6.82
-7.12,-0.69,-6.85
-7.08,-0.72,-6.89
-7.16,-0.72,-6.85
-7.21,-0.69,-6.85
-7.16,-0.69,-6.82
-7.21,-0.72,-6.85
-7.16,-0.69,-6.85
-7.21,-0.72,-6.82
-7.16,-0.72,-6.82
-7.16,-0.72,-6.89
-7.16,-0.69,-6.89
-7.16,-0.72,-6.85
-7.16,-0.72,-6.85
-7.16,-0.72,-6.85
-7.12,-0.65,-6.85
-7.21,-0.69,-6.85
-7.21,-0.69,-6.85
-7.16,-0.72,-6.78
-7.12,-0.72,-6.82
-7.12,-0.69,-6.85
-7.16,-0.72,-6.82
-7.12,-0.65,-6.89
-7.12,-0.72,-6.85
-7.08,-0.72,-6.89
-7.12,-0.65,-6.85
-7.16,-0.69,-6.89
-7.16,-0.72,-6.78
-7.16,-0.72,-6.82
-7.12,-0.69,-6.82
-7.16,-0.72,-6.89
-7.16,-0.69,-6.85
-7.12,-0.69,-6.85
-7.12,-0.72,-6.89
-7.08,-0.65,-6.89
-7.08,-0.72,-6.82
-7.12,-0.72,-6.78
-7.21,-0.69,-6.78
-7.31,-0.72,-6.63
-7.16,-0.76,-6.74
-7.04,-0.61,-6.85
-7.31,-0.69,-7.01
-7.04,-0.57,-7.21
-6.93,-0.65,-6.93
-6.89,-0.69,-7.01
-6.89,-0.61,-7.12
-6.97,-0.84,-6.97
-6.93,-0.72,-7.04
-6.97,-0.95,-6.89
-7.12,-0.61,-6.97
-7.27,-0.42,-7.04
-7.01,-0.76,-6.89
-6.93,-0.76,-6.97
-7.25,-0.84,-6.78
-7.25,-0.89,-6.78
-7.08,-0.72,-6.82
-7.31,-0.84,-6.66
-7.44,-0.76,-6.66
-7.31,-0.72,-6.78
-7.21,-0.69,-6.85
-7.25,-0.76,-6.74
-7.31,-0.84,-6.66
-7.27,-0.76,-6.74
-7.21,-0.72,-6.78
-7.12,-0.76,-6.82
-7.16,-0.76,-6.78
-7.21,-0.72,-6.82
-7.25,-0.84,-6.82
-7.08,-0.84,-6.78
-7.12,-0.69,-6.89
-7.12,-0.69,-6.89
-7.16,-0.72,-6.85
-7.12,-0.76,-6.82
-7.21,-0.8,-6.78
-7.16,-0.72,-6.89
-7.12,-0.76,-6.85
-7.16,-0.84,-6.85
-7.12,-0.76,-6.82
-7.21,-0.8,-6.82
-7.21,-0.76,-6.85
-7.21,-0.8,-6.78
-7.21,-0.8,-6.78
-7.16,-0.76,-6.85
-7.12,-0.72,-6.85
-7.12,-0.76,-6.89
-7.12,-0.8,-6.78
-7.12,-0.76,-6.82
-7.12,-0.8,-6.85
-7.12,-0.76,-6.82
-7.16,-0.8,-6.85
-7.16,-0.8,-6.78
-7.21,-0.76,-6.82
-7.16,-0.8,-6.85
-7.08,-0.76,-6.89
-7.04,-0.72,-6.85
-7.12,-0.76,-6.85
-7.12,-0.76,-6.82
-7.08,-0.76,-6.85
-7.08,-0.76,-6.85
-7.25,-0.8,-6.82
-7.27,-0.8,-6.78
-7.25,-0.8,-6.82
-7.27,-0.84,-6.78
-7.12,-0.84,-6.78
-7.08,-0.8,-6.85
-7.04,-0.84,-6.85
-7.08,-0.8,-6.89
-7.04,-0.89,-6.89
-6.97,-0.8,-6.89
-7.01,-0.76,-6.97
-7.01,-0.76,-7.01
-7.12,-0.76,-6.93
-7.12,-0.89,-6.82
-7.16,-0.8,-6.89
-7.12,-0.76,-6.82
-7.21,-0.76,-6.82
-7.21,-0.76,-6.82
-7.01,-0.8,-6.85
-7.01,-0.8,-6.89
-7.04,-0.72,-6.97
-7.12,-0.69,-6.93
-7.01,-0.76,-6.93
-7.12,-0.76,-6.85
-7.21,-0.76,-6.85
-7.12,-0.76,-6.89
-7.08,-0.72,-6.89
-7.12,-0.76,-6.89
-7.16,-0.8,-6.85
-7.12,-0.84,-6.82
-7.21,-0.84,-6.78
-7.27,-0.8,-6.78
-7.25,-0.84,-6.82
-7.16,-0.76,-6.78
-7.12,-0.76,-6.85
-7.08,-0.72,-6.82
-7.21,-0.76,-6.85
-7.21,-0.8,-6.78
-7.16,-0.84,-6.85
-7.27,-0.84,-6.78
-7.21,-0.8,-6.74
-7.27,-0.69,-6.78
-7.31,-0.76,-6.78
-7.4,-1.08,-6.51
-7.46,-0.95,-6.63
-7.35,-0.8,-6.82
-7.08,-0.72,-7.01
-6.93,-0.76,-6.93
-7.01,-0.84,-6.89
-7.08,-0.89,-6.78
-7.25,-0.95,-6.66
-7.16,-1.08,-6.66
-7.08,-0.95,-6.78
-7.12,-0.84,-6.89
-7.04,-0.76,-7.01
-6.93,-0.8,-7.04
-6.89,-0.69,-7.08
-6.93,-0.57,-7.21
-7.01,-0.5,-7.27
-6.78,-0.5,-7.12
-6.82,-0.61,-7.04
-6.97,-0.57,-7.08
-6.93,-0.69,-7.04
-7.01,-0.65,-6.97
-7.12,-0.61,-7.01
-7.16,-0.69,-6.93
-7.08,-0.69,-6.89
-7.04,-0.69,-6.93
-7.08,-0.65,-6.93
-7.08,-0.65,-6.93
-7.04,-0.61,-6.93
-7.08,-0.65,-6.93
-7.04,-0.65,-6.89
-7.01,-0.57,-7.01
-6.97,-0.57,-7.01
-6.97,-0.57,-7.04
-6.97,-0.53,-7.08
-7.01,-0.57,-7.04
-7.04,-0.57,-6.85
-7.12,-0.61,-6.93
-7.12,-0.65,-6.89
-7.08,-0.57,-7.01
-6.97,-0.61,-6.93
-7.01,-0.53,-7.04
-6.97,-0.5,-7.08
-6.97,-0.57,-7.04
-7.04,-0.57,-7.01
-7.04,-0.61,-6.97
-7.01,-0.57,-6.93
-7.04,-0.57,-6.93
-7.01,-0.57,-7.04
-7.01,-0.57,-7.04
-6.97,-0.57,-7.01
-6.89,-0.57,-7.08
-6.93,-0.53,-7.08
-6.97,-0.53,-7.08
-6.93,-0.61,-6.97
-7.04,-0.65,-6.97
-7.08,-0.61,-6.93
-7.04,-0.61,-6.97
-6.93,-0.57,-7.04
-6.97,-0.53,-7.08
-6.93,-0.53,-7.12
-6.89,-0.5,-7.12
-6.93,-0.53,-7.08
-6.93,-0.53,-7.01
-6.97,-0.57,-6.97
-6.97,-0.5,-7.01
-6.97,-0.5,-7.04
-7.01,-0.53,-7.04
-6.93,-0.53,-7.04
-6.93,-0.57,-7.01
-6.93,-0.57,-6.93
-6.93,-0.5,-7.04
-6.97,-0.5,-7.04
-6.93,-0.57,-7.04
-7.01,-0.53,-7.08
-6.93,-0.46,-7.08
-7.04,-0.38,-6.97
-7.44,-0.46,-6.93
-7.4,-0.46,-6.89
-7.16,-0.42,-6.78
-7.01,-1.14,-6.36
-7.21,-0.61,-6.78
-7.27,-0.61,-6.63
-7.44,-0.5,-6.59
-7.44,-0.69,-6.59
-7.44,-0.99,-6.55
-7.44,-0.99,-6.55
-7.31,-1.08,-6.55
-7.31,-0.99,-6.55
-7.44,-0.99,-6.51
-7.46,-1.04,-6.55
-7.31,-0.99,-6.66
-7.01,-0.99,-6.66
-6.82,-0.99,-6.82
-7.01,-0.84,-6.93
-7.31,-0.8,-6.74
-7.4,-0.95,-6.63
