x-axis,y-axis,z-axis
-1.99,9.43,1.84
-1.84,10.0,2.53
-1.23,9.72,2.72
-1.12,9.58,2.64
-0.95,9.62,2.6
-1.18,9.72,2.53
-1.38,9.7,2.56
-1.18,9.62,2.68
-1.31,9.62,2.68
-1.23,9.7,2.72
-1.18,9.58,2.79
-1.04,9.62,2.64
-1.04,9.66,2.56
-0.99,9.62,2.53
-1.31,9.72,2.72
-1.18,9.53,2.6
-1.23,9.58,2.56
-1.12,9.89,2.49
-1.08,9.51,2.56
-1.31,9.43,2.45
-1.69,9.51,2.87
-1.61,9.62,2.6
-1.08,9.77,2.45
-0.84,9.72,2.41
-0.72,9.72,2.18
-1.08,9.66,2.37
-1.5,9.53,2.41
-1.46,9.72,2.49
-1.14,9.72,2.34
-1.14,9.72,2.34
-0.95,9.66,2.26
-1.08,9.72,2.45
-1.27,9.7,2.49
-1.18,9.58,2.45
-1.04,9.66,2.53
-1.14,9.66,2.56
-1.31,9.66,2.6
-1.42,9.62,2.68
-0.8,9.77,2.34
-0.5,10.12,2.3
-0.84,9.47,2.18
-1.57,9.66,2.37
-1.46,9.51,2.72
-1.08,9.53,2.37
-1.12,9.81,2.3
-1.08,9.62,2.45
-1.14,9.81,2.53
-1.04,9.58,2.49
-1.18,9.62,2.49
-1.14,9.58,2.76
-1.38,9.58,2.68
-1.57,9.34,2.6
-1.42,9.51,2.64
-1.27,9.51,2.64
-0.95,9.72,2.53
-0.89,9.81,2.53
-0.89,9.7,2.53
-1.12,9.72,2.6
-1.31,9.53,2.56
-1.31,9.62,2.6
-1.33,9.51,2.56
-1.5,9.62,2.53
-1.18,9.53,2.45
-0.91,9.7,2.49
-0.95,9.81,2.64
-0.99,9.58,2.72
-1.14,9.58,2.56
-1.38,9.58,2.64
-1.27,9.53,2.49
-1.08,9.58,2.49
-1.23,9.7,2.76
-1.12,9.7,2.64
-1.04,9.66,2.64
-0.76,9.66,2.45
-0.99,9.72,2.6
-1.14,9.53,2.53
-1.31,9.47,2.56
