x-axis,y-axis,z-axis
-1.57,1.12,1.38
-4.67,10.31,7.55
-11.65,15.05,2.98
-3.02,8.85,4.1
-7.78,9.89,5.86
-7.89,13.21,1.08
-6.24,13.33,7.5
-4.94,6.74,10.08
-2.11,2.72,5.52
1.42,3.21,4.82
-5.56,6.93,-3.21
-13.91,16.63,6.51
-7.06,15.36,7.04
-5.9,5.71,2.98
-4.4,2.41,7.93
-1.88,-0.72,1.57
-1.69,1.04,-0.65
-2.41,1.73,-0.65
-6.05,11.41,2.72
-5.43,9.43,-2.03
-8.69,16.97,5.86
-10.57,19.15,-0.93
-5.79,8.85,6.82
-0.84,-0.11,9.34
-0.31,1.84,2.96
0.04,5.83,5.82
-7.82,9.77,-3.02
-15.75,19.53,14.52
-6.36,15.7,3.41
-3.95,5.37,1.61
-2.49,-0.65,-1.8
-1.65,-3.02,-1.8
0.8,-2.11,-1.23
-0.72,0.57,-0.11
-17.35,18.47,0.23
-11.45,19.76,6.59
-8.39,18.89,3.11
-5.13,14.02,6.36
-0.19,0.65,7.97
-0.5,0.53,4.1
-5.48,5.22,1.65
-12.53,14.41,2.56
-13.95,19.38,11.37
-5.22,9.43,-1.8
-2.64,-2.07,-1.38
-1.38,-4.06,-1.33
1.65,-2.91,-1.08
-4.33,5.33,1.53
-14.94,16.13,1.5
-16.66,19.76,2.96
-9.92,18.66,2.79
-6.13,6.66,8.69
-0.69,1.54,7.25
1.18,4.33,5.9
-1.27,3.34,1.08
-14.29,15.66,5.67
-8.66,18.43,9.43
-6.28,7.89,1.38
-4.6,1.12,4.4
-2.49,-0.8,0.38
0.53,-1.92,-0.93
0.15,-0.3,-0.5
-6.02,8.47,-2.22
-5.83,13.57,-0.38
-10.57,16.82,2.34
-13.33,17.47,3.11
-9.34,9.85,8.54
-2.72,1.23,10.88
-0.38,5.9,3.53
-3.57,4.25,2.56
-8.69,9.85,-1.61
-7.06,11.56,0.27
-4.79,1.57,1.12
-2.68,-0.99,-1.76
-1.14,-3.34,-1.76
2.37,-1.12,0.3
-3.21,4.25,2.53
-13.21,15.47,0.8
-17.43,19.72,1.69
-7.59,9.92,6.82
-6.97,5.48,7.97
-1.38,-0.99,9.04
-0.04,3.57,5.71
-5.52,7.82,-3.3
-10.88,12.03,-2.56
-11.3,9.72,-1.23
-4.02,11.11,10.57
-3.3,3.15,-1.99
-3.79,0.89,-1.76
-4.48,-0.19,-1.18
-4.33,-0.19,0.69
-8.73,16.59,12.18
-5.63,7.12,1.84
-10.92,8.58,4.37
-8.69,5.24,2.53
-3.76,4.06,-0.99
-7.12,8.81,-0.93
-3.02,7.59,2.49
-4.82,6.02,2.6
-5.83,7.7,0.5
-5.09,5.41,-0.04
-7.31,8.12,0.23
-9.72,8.35,7.25
-7.16,9.43,0.42
-4.25,13.8,3.83
-7.46,11.3,-2.03
-11.65,14.29,-1.14
-8.28,9.34,-1.14
-2.11,4.82,0.76
-3.91,3.68,-2.49
-5.71,2.72,-2.68
-7.35,2.41,-0.38
-8.24,9.81,15.13
-2.3,4.44,-0.8
-9.66,8.5,-3.21
-10.42,9.15,2.03
-8.92,10.69,-2.15
-8.08,12.41,-1.38
-4.33,7.12,1.38
-7.06,2.87,7.12
-5.09,7.27,0.34
-5.24,6.17,0.53
-7.5,8.05,0.42
-9.81,11.88,0.04
-6.74,12.22,3.68
-5.75,9.11,1.76
-8.2,8.54,-0.93
-10.69,11.3,1.33
-12.79,15.09,8.47
-10.42,13.4,2.37
-3.83,6.02,0.34
-2.3,-0.19,-3.3
1.84,-5.24,-3.21
4.21,-3.15,1.69
-2.96,3.87,7.4
-8.89,3.21,1.27
-17.73,9.19,-0.38
-7.35,18.5,4.21
-7.35,18.5,4.21
-1.18,0.5,7.21
-1.08,3.41,3.45
-0.57,6.85,6.43
-6.85,5.22,-4.4
-9.85,14.63,7.7
-7.35,-2.07,-2.45
-0.61,-2.07,-2.45
-0.61,-2.07,-2.45
1.73,-0.99,-1.88
-0.11,0.76,-0.46
-12.41,14.98,2.83
-10.8,12.98,2.49
-12.15,14.79,1.65
-10.12,17.77,4.14
-5.6,8.16,9.7
-2.53,-1.31,11.45
-0.53,5.22,-0.69
-6.28,7.74,1.57
-17.43,18.43,9.85
-5.33,6.32,1.57
-3.11,0.34,-1.92
-0.93,-2.96,-1.76
1.18,-3.02,-2.3
1.73,-1.92,-1.8
-12.45,9.92,-2.76
-19.23,19.7,2.6
-12.07,17.69,3.53
-0.53,8.24,10.95
-1.54,5.05,3.34
-1.46,2.03,1.5
-3.49,0.72,7.93
-18.12,18.81,7.86
-5.56,14.98,7.7
-5.86,4.79,-1.04
-5.22,-2.11,-0.08
0.15,-3.45,-1.18
1.92,-1.42,-1.04
-0.95,1.33,-0.34
-13.57,15.24,2.49
-17.05,19.5,1.61
-8.77,13.33,3.06
-5.71,6.55,10.04
-2.15,2.37,6.93
2.22,4.82,6.21
-3.83,3.95,-2.72
-14.94,14.06,6.7
-14.52,17.77,6.66
-5.41,1.27,-0.46
-3.17,-1.73,-2.34
-0.5,-3.02,-2.07
2.11,-1.8,-1.92
-10.76,10.76,6.02
-18.96,19.11,-4.29
-15.51,18.28,6.47
-6.93,10.8,7.16
-0.5,1.8,4.52
-0.65,5.41,2.26
-2.41,3.38,1.31
-7.63,6.63,-3.02
-9.34,12.76,1.08
-5.9,7.31,3.34
-6.21,2.72,-1.18
-3.15,-1.42,-2.72
1.33,-0.19,8.24
-5.75,1.46,2.6
-14.29,9.0,-2.41
-15.51,12.95,-2.3
-4.71,8.62,2.79
-5.33,7.44,-0.27
-4.6,4.1,-0.04
-6.05,2.56,1.33
-7.93,7.31,2.98
-9.53,8.89,4.37
-9.58,8.01,4.4
-6.24,12.22,3.26
-8.73,11.65,-2.83
-11.92,12.98,0.23
-9.28,8.47,0.57
-4.6,2.96,-0.42
-5.22,1.31,-1.14
-5.6,0.04,-1.18
-5.05,-0.08,3.83
-7.97,14.18,17.43
-4.18,4.67,-1.73
-14.48,9.81,3.26
-9.28,4.37,-2.07
-5.56,3.72,-2.15
-10.04,7.63,-1.42
-4.21,5.33,2.41
-5.86,4.4,5.41
-8.58,6.85,1.5
-6.05,4.67,-0.31
-9.0,7.31,0.23
-9.89,8.54,8.88
-8.47,11.22,0.61
-8.2,10.34,-2.26
-12.34,10.92,-0.57
-15.13,15.98,5.18
-8.08,10.08,-1.57
-6.36,2.98,-1.27
-6.7,-1.53,-0.27
-2.53,-1.33,3.45
-0.99,0.19,4.9
-3.76,3.45,5.33
-10.19,10.04,10.04
-15.21,9.92,-3.45
-0.99,2.15,4.44
-8.05,8.16,1.14
-10.57,8.77,3.79
-13.95,10.95,1.33
-10.57,15.83,3.72
-3.3,4.75,9.85
-1.73,4.6,3.95
-0.19,6.09,1.84
-5.48,6.21,1.46
-15.05,14.79,7.27
-3.99,6.47,2.41
-4.33,1.33,-1.76
-1.65,-1.92,-2.07
0.91,-1.76,-1.12
-1.57,0.27,0.19
-12.79,11.56,-0.27
-19.08,19.76,0.27
-3.72,5.98,10.69
-0.31,1.61,7.55
-1.08,3.72,0.72
-1.38,4.33,3.41
-16.28,12.72,6.47
-13.82,18.28,8.85
-4.99,6.74,0.34
-6.09,0.76,0.69
0.34,-2.49,-2.87
2.07,-1.53,-1.14
-1.99,3.57,6.78
-6.32,7.74,1.23
-16.4,16.21,0.91
-8.5,14.06,3.68
-5.86,6.55,10.27
-3.06,2.03,8.35
0.04,5.56,4.82
-6.28,4.71,-0.08
-17.47,15.79,9.92
-13.06,12.95,4.33
-1.33,0.0,-1.46
-0.76,4.82,4.59
-5.24,4.82,4.59
-5.24,4.82,4.59
-14.98,11.14,-0.76
-19.19,19.72,2.14
-14.29,16.51,0.76
-4.29,8.89,7.93
-1.33,3.49,2.91
0.53,5.01,1.38
-1.33,6.09,3.95
-9.85,7.4,-1.27
-8.96,8.58,1.53
-3.95,1.08,1.69
-2.76,-0.61,-2.11
-0.57,-1.76,-2.22
0.5,-0.8,-1.18
-5.98,5.37,-0.08
-17.92,16.63,0.72
-18.5,19.57,1.99
-8.92,13.06,3.76
-2.3,1.95,7.63
-2.22,4.25,0.11
-1.61,7.46,5.86
-7.31,5.67,-1.73
-12.15,13.82,3.41
-6.63,2.03,1.04
-4.02,-2.18,-0.89
2.37,-1.69,-1.69
1.65,-0.99,-1.5
-2.15,1.54,-0.46
-14.71,14.06,3.83
-13.82,15.85,2.45
-4.52,4.48,9.7
1.38,0.46,13.06
-1.69,6.02,0.61
-2.96,3.3,-2.26
-12.87,9.43,-1.84
-17.47,15.51,11.99
-5.75,7.06,-1.57
-3.15,0.5,-0.08
-3.41,-1.38,-1.33
-3.06,-1.12,-1.08
-3.72,4.75,4.02
-5.83,6.74,-0.61
-15.02,6.85,-1.57
-11.07,4.29,-1.27
-9.51,6.13,-1.61
-6.59,5.94,-0.19
-3.34,2.68,3.79
-6.17,5.22,3.95
-7.55,6.21,-0.19
-10.34,7.12,3.11
-10.38,7.89,2.96
-9.23,7.89,5.18
-9.47,11.3,2.41
-10.95,11.35,-2.53
-12.22,11.96,-3.06
-7.25,8.12,-1.27
-2.6,6.97,3.83
-5.75,1.8,-4.52
-8.31,-0.91,-5.56
-7.74,-2.56,4.33
-10.12,8.31,18.5
-10.57,12.49,-1.65
-12.15,6.24,-0.84
-6.51,2.18,-2.15
-14.41,6.66,-3.02
-6.17,5.28,-0.93
-6.17,5.28,-0.93
-4.33,6.28,4.37
-8.2,6.17,1.5
-5.83,5.9,0.19
-7.78,7.21,0.65
-11.18,12.22,3.98
-8.2,12.26,6.43
-9.85,7.93,3.57
-8.31,6.05,-0.23
-16.51,15.94,10.65
-15.36,16.25,2.91
-7.7,9.43,0.72
-3.45,2.03,-2.53
1.8,-4.02,-4.29
3.45,-3.21,-1.23
-2.3,2.49,5.67
-6.44,0.72,0.95
-19.19,19.42,-0.08
-10.08,17.88,7.63
-0.76,7.46,9.15
0.34,1.61,3.64
-2.56,5.13,4.56
-9.53,4.33,-1.54
-19.0,17.88,12.37
-9.47,9.7,0.38
-2.6,-0.3,-2.72
-0.11,-1.61,-3.57
1.84,-2.64,-2.68
0.3,-0.53,-0.19
-19.23,16.21,-1.31
