x-axis,y-axis,z-axis
-2.41,5.18,1.5390993
-0.3,1.73,-0.50395286
1.27,11.03,2.5606253
-1.42,14.75,8.158588
-0.89,10.65,3.990762
-2.22,13.1,-5.243834
0.19,11.6,4.944186
-2.45,9.85,-3.7864566
0.93,10.15,-0.29964766
0.0,9.38,-1.2258313
1.04,8.47,-0.08172209
2.49,9.66,1.6889231
-0.19,9.47,1.2666923
1.99,10.46,1.334794
0.19,10.15,1.7570249
-1.88,12.41,2.4108016
-2.83,12.26,-0.42223078
0.84,15.66,1.7978859
2.6,9.53,2.7649305
-0.46,6.21,0.50395286
-2.98,2.07,-0.7218784
-1.84,3.49,-0.53119355
0.0,6.21,2.7921712
0.93,18.73,12.9529505
-5.56,11.5,-1.6889231
-5.56,11.5,-1.6889231
0.08,14.06,-0.95342433
-1.8,5.48,-3.7864566
-0.04,13.4,-2.7921712
-0.95,9.15,1.1849703
-0.42,8.5,-0.84446156
-0.76,8.77,1.1168685
0.0,9.7,-0.46309182
0.38,10.34,-1.1168685
1.04,12.3,0.6537767
-0.95,10.69,3.0237172
2.26,12.95,0.95342433
-0.46,14.6,-2.5333846
-4.44,18.09,-0.42223078
-6.47,15.05,-0.38136974
-1.73,8.16,-2.7921712
2.98,5.05,-2.6423476
-0.91,-0.04,-3.1054392
-1.04,1.61,-1.6480621
0.42,8.05,4.944186
-1.27,19.0,15.132206
-5.18,7.74,3.255263
-1.76,10.76,-0.0
-9.15,9.77,-1.525479
1.5,8.47,-7.5456724
1.5,14.02,-1.1849703
2.64,10.46,-0.29964766
-0.89,6.74,-0.3405087
-0.34,8.62,1.7570249
0.46,9.08,-0.29964766
-0.46,8.62,-1.7978859
0.31,12.41,-0.42223078
1.23,13.48,2.1111538
0.76,11.96,3.8273177
-0.65,13.76,0.3405087
-2.14,18.5,-4.1814466
-7.08,16.59,-0.61291564
-2.68,9.08,-2.5333846
2.87,6.28,-2.4925237
-1.04,-0.23,-3.5276701
-1.57,1.14,-2.8330324
-0.61,5.98,4.8216033
-2.37,19.15,15.5135765
-3.57,6.66,4.7943625
-3.83,9.85,0.14982383
-4.06,11.73,-1.7978859
-2.22,7.25,-3.759216
-0.61,12.3,-4.0180025
3.87,12.98,1.1441092
-0.69,6.59,-0.08172209
-1.69,7.44,1.1441092
0.23,8.92,0.23154591
0.31,8.85,-1.6480621
-0.38,12.64,0.14982383
0.95,13.99,1.4573772
1.08,10.99,3.9090397
0.0,15.21,0.9942854
-1.31,17.16,-6.5513873
-6.32,16.93,1.56634
-2.64,9.53,-3.2961242
1.23,5.71,-2.4108016
-1.18,0.76,-3.255263
-1.42,0.34,-3.2961242
-0.08,6.02,3.568531
-4.06,19.08,17.120777
-2.53,5.67,4.671779
-1.73,9.43,-2.7240696
-6.89,15.13,0.95342433
-1.76,4.14,-5.5571017
0.69,13.1,-4.671779
3.49,12.49,1.920469
-1.27,6.66,-0.6946377
-1.88,7.35,1.0760075
